Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Accastilleur, agent de maintenance en marine de plaisance;Transport, Logistique;2;R;c;
Accessoiriste;Audiovisuel, Cinéma;2;A;R;
Acheteur;Commerce, Vente, Distribution;31;C;E;
Acheteur d'espaces publicitaires;Communication, Médias;5;E;A;
Acheteur habillement;Commerce, Vente, Distribution;3;C;E;
Acheteur industriel;Commerce, Vente, Distribution;11;C;E;
Acheteur public;Fonction publique;3;C;E;
Acousticien;Bâtiment, Travaux publics, Architecture;8;R;C;
Actuaire;Banque, Assurance, Finance;14;C;I;
Adjoint de Sécurité;Défense, Sécurité;4;C;R;
Administrateur de biens;Immobilier;5;E;C;
Administrateur de la fonction publique;Fonction publique;10;E;C;
Administrateur de mission;Humanitaire;2;C;E;
Administrateur judiciaire;Droit, Justice;1;C;E;
Administrateur systèmes et réseaux;Informatique, Digital, Télécom;8;I;C;
Agenceur d'intérieur;Bâtiment, Travaux publics, Architecture;6;A;R;
Agencier;Journalisme;1;A;I;
Agent commercial;Commerce, Vente, Distribution;3;C;E;Dépend du produit vendu
Agent commercial en vins et spiritueux;Commerce, Vente, Distribution;3;C;E;
Agent d'entretien et de nettoyage urbain;Environnement, Eau, Nature, Propreté;1;C;E;
Agent d'escale;Aérien, Aéronautique et Aéroportuaire;6;C;S;
Agent d'exploitation des équipements audiovisuels;Audiovisuel, Cinéma;2;A;R;
Agent de comptoir;Tourisme, Loisirs;13;C;S;
Agent de contrôle de transport urbain;Transport, Logistique;1;C;S;
Agent de médiation;Défense, Sécurité;4;S;C;
Agent de prévention et de sécurité;Défense, Sécurité;2;C;R;
Agent de production;Industrie, Maintenance, Energie;1;R;C;
Agent de propreté et d'hygiène;Environnement, Eau, Nature, Propreté;2;R;C;
Agent de renseignement opérationnel;Défense, Sécurité;2;I;R;
Agent de service hospitalier;Services à la personne, Entretien;2;R;C;
Agent de stérilisation;Paramédical;5;R;C;
Agent des réseaux d'eau potable;Environnement, Eau, Nature, Propreté;1;R;C;
Agent général d'assurance;Banque, Assurance, Finance;7;C;E;
Agent immobilier;Immobilier;11;E;C;
Agent spécialisé petite enfance;Services à la personne, Entretien;2;S;R;
Agent sportif;Sport, Animation;1;E;A;
Agent territorial spécialisé des écoles maternelles;Enseignement, Formation;10;S;R;
Aide médico-psychologique;Paramédical;3;S;I;
Aide-soignant;Paramédical;13;S;I;
Ambulancier;Transport, Logistique;2;S;I;
Analyste en fusion-acquisition;Banque, Assurance, Finance;4;E;I;
Analyste financier;Banque, Assurance, Finance;7;E;I;
Analyste fonctionnel;Informatique, Digital, Télécom;3;I;R;
Anesthésiste-réanimateur;Médical;3;I;S;
Animateur 2D/3D;Design, Graphisme, Multimédia;2;A;R;
Animateur de club de vacances;Tourisme, Loisirs;3;S;E;
Animateur de réseau de parrainage;Social, Vie associative;4;;;
Animateur du patrimoine;Culture, Patrimoine;2;;;
Animateur enfant;Sport, Animation;4;;;
Animateur socioculturel;Social, Vie associative;25;S;A;
Animateur sportif;Sport, Animation;4;;;
Approvisionneur;Commerce, Vente, Distribution;1;;;
Aquaculteur;Agriculture, Elevage, Pêche;4;;;
Archéologue;Sciences Humaines et Sociales;3;I;A;
Architecte;Bâtiment, Travaux publics, Architecture;13;R;E;
Architecte d'intérieur;Bâtiment, Travaux publics, Architecture;4;;;
Architecte de système d'information;Informatique, Digital, Télécom;15;I;C;
Archiviste;Edition, Bibliothèque, Livre;3;;;
Aromaticien;Agroalimentaire, Industrie agroalimentaire;5;;;
Artificier;Spectacle, Métiers de la scène;1;;;
Artiste de cirque;Spectacle, Métiers de la scène;2;;;
Artiste peintre;Artisanat d'art;1;;;
Artiste plasticien;Artisanat d'art;2;;;
Assistant administratif / Secrétaire;Secrétariat, Accueil;31;C;S;
Assistant administratif bancaire;Banque, Assurance, Finance;3;;;
Assistant administration du personnel et paie;Ressources Humaines;5;;;
Assistant Chef de Produit International;Agroalimentaire, Industrie agroalimentaire;1;;;
Assistant Chef de Projet SEO/SEA;Informatique, Digital, Télécom;1;;;
Assistant commercial;Commerce, Vente, Distribution;23;C;E;
Assistant de communication;Communication, Médias;7;;;
Assistant de gestion PME/PMI;Audit, Comptabilité, Gestion;5;;;
Assistant de gestion PME/PMI (Alternance);Ressources Humaines;1;;;
Assistant de production;Audiovisuel, Cinéma;3;;;
Assistant de service social;Social, Vie associative;23;S;C;
Assistant dentaire;Paramédical;1;;;
Assistant des ressources humaines;Secrétariat, Accueil;40;C;S;
Assistant export;Commerce, Vente, Distribution;2;;;
Assistant informatique et internet à domicile;Informatique, Digital, Télécom;2;;;
Assistant ingénieur / de recherche;Sciences, Maths, Physique, Recherche;3;;;
